survived,age,sibsp,parch,fare,class,sex_male,alone_True,embark_town_Cherbourg,embark_town_Queenstown,embark_town_Southampton
0,22.0,1,0,7.25,3,True,False,False,False,True
1,38.0,1,0,71.2833,1,False,False,True,False,False
1,26.0,0,0,7.925,3,False,True,False,False,True
1,35.0,1,0,53.1,1,False,False,False,False,True
0,35.0,0,0,8.05,3,True,True,False,False,True
0,28.0,0,0,8.4583,3,True,True,False,True,False
0,54.0,0,0,51.8625,1,True,True,False,False,True
0,2.0,3,1,21.075,3,True,False,False,False,True
1,27.0,0,2,11.1333,3,False,False,False,False,True
1,14.0,1,0,30.0708,2,False,False,True,False,False
1,4.0,1,1,16.7,3,False,False,False,False,True
1,58.0,0,0,26.55,1,False,True,False,False,True
0,20.0,0,0,8.05,3,True,True,False,False,True
0,39.0,1,5,31.275,3,True,False,False,False,True
0,14.0,0,0,7.8542,3,False,True,False,False,True
1,55.0,0,0,16.0,2,False,True,False,False,True
0,2.0,4,1,29.125,3,True,False,False,True,False
1,28.0,0,0,13.0,2,True,True,False,False,True
0,31.0,1,0,18.0,3,False,False,False,False,True
1,28.0,0,0,7.225,3,False,True,True,False,False
0,35.0,0,0,26.0,2,True,True,False,False,True
1,34.0,0,0,13.0,2,True,True,False,False,True
1,15.0,0,0,8.0292,3,False,True,False,True,False
1,28.0,0,0,35.5,1,True,True,False,False,True
0,8.0,3,1,21.075,3,False,False,False,False,True
1,38.0,1,5,31.3875,3,False,False,False,False,True
0,28.0,0,0,7.225,3,True,True,True,False,False
0,19.0,3,2,111.18226250000001,1,True,False,False,False,True
1,28.0,0,0,7.8792,3,False,True,False,True,False
0,28.0,0,0,7.8958,3,True,True,False,False,True
0,40.0,0,0,27.7208,1,True,True,True,False,False
1,28.0,1,0,111.18226250000001,1,False,False,True,False,False
1,28.0,0,0,7.75,3,False,True,False,True,False
0,66.0,0,0,10.5,2,True,True,False,False,True
0,28.0,1,0,82.1708,1,True,False,True,False,False
0,42.0,1,0,52.0,1,True,False,False,False,True
1,28.0,0,0,7.2292,3,True,True,True,False,False
0,21.0,0,0,8.05,3,True,True,False,False,True
0,18.0,2,0,18.0,3,False,False,False,False,True
1,14.0,1,0,11.2417,3,False,False,True,False,False
0,40.0,1,0,9.475,3,False,False,False,False,True
0,27.0,1,0,21.0,2,False,False,False,False,True
0,28.0,0,0,7.8958,3,True,True,True,False,False
1,3.0,1,2,41.5792,2,False,False,True,False,False
1,19.0,0,0,7.8792,3,False,True,False,True,False
0,28.0,0,0,8.05,3,True,True,False,False,True
0,28.0,1,0,15.5,3,True,False,False,True,False
1,28.0,0,0,7.75,3,False,True,False,True,False
0,28.0,2,0,21.6792,3,True,False,True,False,False
0,18.0,1,0,17.8,3,False,False,False,False,True
0,7.0,4,1,39.6875,3,True,False,False,False,True
0,21.0,0,0,7.8,3,True,True,False,False,True
1,49.0,1,0,76.7292,1,False,False,True,False,False
1,29.0,1,0,26.0,2,False,False,False,False,True
0,65.0,0,1,61.9792,1,True,False,True,False,False
1,28.0,0,0,35.5,1,True,True,False,False,True
1,21.0,0,0,10.5,2,False,True,False,False,True
0,28.5,0,0,7.2292,3,True,True,True,False,False
1,5.0,1,2,27.75,2,False,False,False,False,True
0,11.0,5,2,46.9,3,True,False,False,False,True
0,22.0,0,0,7.2292,3,True,True,True,False,False
0,45.0,1,0,83.475,1,True,False,False,False,True
0,4.0,3,2,27.9,3,True,False,False,False,True
0,28.0,0,0,27.7208,1,True,True,True,False,False
1,28.0,1,1,15.2458,3,True,False,True,False,False
1,29.0,0,0,10.5,2,False,True,False,False,True
0,19.0,0,0,8.1583,3,True,True,False,False,True
1,17.0,4,2,7.925,3,False,False,False,False,True
0,26.0,2,0,8.6625,3,True,False,False,False,True
0,32.0,0,0,10.5,2,True,True,False,False,True
0,16.0,5,2,46.9,3,False,False,False,False,True
0,21.0,0,0,73.5,2,True,True,False,False,True
0,26.0,1,0,14.4542,3,True,False,True,False,False
1,32.0,0,0,56.4958,3,True,True,False,False,True
0,25.0,0,0,7.65,3,True,True,False,False,True
0,28.0,0,0,7.8958,3,True,True,False,False,True
0,28.0,0,0,8.05,3,True,True,False,False,True
1,0.83,0,2,29.0,2,True,False,False,False,True
1,30.0,0,0,12.475,3,False,True,False,False,True
0,22.0,0,0,9.0,3,True,True,False,False,True
1,29.0,0,0,9.5,3,True,True,False,False,True
1,28.0,0,0,7.7875,3,False,True,False,True,False
0,28.0,0,0,47.1,1,True,True,False,False,True
1,17.0,0,0,10.5,2,False,True,False,False,True
1,33.0,3,0,15.85,3,False,False,False,False,True
0,16.0,1,3,34.375,3,True,False,False,False,True
0,28.0,0,0,8.05,3,True,True,False,False,True
1,23.0,3,2,111.18226250000001,1,False,False,False,False,True
0,24.0,0,0,8.05,3,True,True,False,False,True
0,29.0,0,0,8.05,3,True,True,False,False,True
0,20.0,0,0,7.8542,3,True,True,False,False,True
0,46.0,1,0,61.175,1,True,False,False,False,True
0,26.0,1,2,20.575,3,True,False,False,False,True
0,59.0,0,0,7.25,3,True,True,False,False,True
0,28.0,0,0,8.05,3,True,True,False,False,True
0,71.0,0,0,34.6542,1,True,True,True,False,False
1,23.0,0,1,63.3583,1,True,False,True,False,False
1,34.0,0,1,23.0,2,False,False,False,False,True
